task_id,difficulty,expected_mode,routed_mode,route_match,e2e_success,b2_status,b2_csim,b2_synth,b2_cosim,clock_100mhz,baseline_latency,candidate_latency,raw_acceleration,capped_acceleration,official_score,public_validation_proxy_score,requires_cosim
v3d_fast_013,3,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.1,False
v3d_fast_014,3,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,35,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.1,False
v3d_fast_015,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,39,39,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.95,True
v3d_fast_016,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,39,39,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.95,True
v3d_fast_017,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.8,True
v3d_fast_018,4,STRUCTURAL_FIX,OPTIMIZE,False,True,PASS,PASS,PASS,PASS,PASS,21,21,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.95,True
v3d_fast_019,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,49,49,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.95,True
v3d_fast_020,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,60,18,3.3333333333333335,3.3333333333333335,NOT_EXECUTED_NO_HIDDEN_RECEIPT,3.3,True
v3d_fast_021,2,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,18,18,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.475,False
v3d_fast_022,2,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,9,2,4.5,4.5,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.7375,False
v3d_fast_023,2,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,67,6,11.166666666666666,8.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.0,False
v3d_fast_024,2,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,18,6,3.0,3.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.625,False
v3d_fast_025,2,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,71,71,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.475,False
v3d_fast_026,3,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,87,10,8.7,8.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,3.0,False
v3d_fast_027,3,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,81,81,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.2125,False
v3d_fast_028,3,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,39,18,2.1666666666666665,2.1666666666666665,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.3438,True
